Tweet_ID,Created_Date,Text,Likes,Retweets,Elapsed (Hours),Like Score,Retweet Score
1409021171237101569,2021-06-27 05:30:00+05:30,"Retail merchants can now access swift digital banking services with #ICICIBankMerchantStack on a single platform and avail benefits like express credit, merchant overdraft and exclusive loyalty programme among others, to run their business smoothly. #WorldMSMEDay https://t.co/0vXrm9Nchm",9,1,109.587158735,0.08212641064783419,0.009125156738648244
1409006072644476931,2021-06-27 04:30:00+05:30,"From availing an instant overdraft or opening a current account to applying for a business loan and more, the #ICICIBank #InstaBIZ app is the one-stop solution for all your business banking needs. 

Know more: https://t.co/5FdB3iY9Ze 

#WorldMSMEDay https://t.co/r83cZsHzYG",13,1,110.587158735,0.11755433586237529,0.009042641220182715
1408824879625822210,2021-06-26 16:30:00+05:30,"Sharing is wonderful, but not always! Here’s how you can always stay alert and be on the lookout for suspicious and fraudulent activities. #StopThinkAct #iPledgeSafeBanking https://t.co/qtGVdaGeqP",30,3,122.587158735,0.24472383820275836,0.024472383820275837
1408794680767119368,2021-06-26 14:30:00+05:30,"With the #TrackDeliverables feature on #ICICIBank iMobile Pay and internet banking, you can now easily track the status of deliverables dispatched to you by the Bank from the comfort and safety of your home.

#BankFromHome #StaySafeBankSafe https://t.co/1tOge9jUbk",22,3,124.587158735,0.17658320667537292,0.0240795281830054
1408764479878451203,2021-06-26 12:30:00+05:30,"With #ICICIBankMerchantStack, retail merchants can get access to several digital banking services in one place to bank seamlessly and to continue serving their customers during these tough times. Read more. #BusinessWithCare 
https://t.co/KyuSkLxTOo",9,1,126.587158735,0.07109725891581763,0.007899695435090847
1408749382334402560,2021-06-26 11:30:00+05:30,"From blocking/unblocking card instantly, managing credit card limit, requesting statement and more, ICICI Bank credit card holders can now manage their card seamlessly using internet banking. Watch the video to know more! https://t.co/wgcptQQM0s",29,4,127.587158735,0.22729560159132733,0.031351117460872734
1408628585166827528,2021-06-26 03:30:00+05:30,"With the ‘Pay to Contact’ feature on #iMobilePay, you can transfer funds to anyone’s mobile number seamlessly. Simply select the recipient from your phone book and let the app do the rest. #iMobilePayForAll https://t.co/40MdfWg1HL",12,2,135.587158735,0.08850395651002281,0.014750659418337135
1408462492271927299,2021-06-25 16:30:00+05:30,Never share your personal banking details like your OTP or credit/debit card pin with anyone seeking them. Here’s how you can always stay alert and on the lookout for suspicious and fraudulent activities. #StopThinkAct #BankingSafetyTips #iPledgeSafeBanking https://t.co/fIO2iINl1A,12,1,146.587158735,0.08186255947353191,0.006821879956127659
1408450588484915201,2021-06-25 15:42:42+05:30,@KorbaDist @ICICIFoundation @ICICIBank_Care Thank you @KorbaDist. #ICICIBank and #ICICIFoundation stand hand in hand with the citizens and are committed to assist the authorities in these testing times.,1,0,147.37549206833333,0.006785388709924251,0.0
1408450544344080384,2021-06-25 15:42:32+05:30,Thank you @KorbaDist. #ICICIBank and #ICICIFoundation stand hand in hand with the citizens and are committed to assist the authorities in these testing times. https://t.co/DJLYbt3MkI,14,1,147.3782698461111,0.09499365146991119,0.0067852608192793705
